name,pretty_name,alternative_pretty_name
WaterLost_MB,medullary H2O%,medullary water lost
OMLost_MB,medullary organic%,medullary organic matter lost
CO2Lost_MB,medullary CO3%,medullary carbon dioxide lost
Mineral_MB,medullary mineral%,medullary mineral
Phosphates_MB,medullary PO4%,medullary phosphates
Phosphates_over_OM_MB,medullary PO4/organic,medullary phosphates/organic matter
CO3_over_Phosphates_MB,medullary CO3/PO4,medullary carbonate/phosphates
WaterLost_CB,cortical H2O%,cortical water lost
OMLost_CB,cortical organic%,cortical organic matter lost
CO2Lost_CB,cortical CO3%,cortical carbon dioxide lost
Mineral_CB,cortical mineral%,cortical mineral
Phosphates_CB,cortical PO4%,cortical phosphates
Phosphates_over_OM_CB,cortical PO4/organic,cortical phosphates/organic matter
CO3_over_Phosphates_CB,cortical CO3/PO4,cortical carbonate/phosphates